index,field,value
 2.2.8.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 2.2.9.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 3.1.1.1,category1_name,"Astatic 920B 20"" Cardioid Condenser Mini Gooseneck Microphone - Equitek Capsule for Extended Frequency Response"
 3.1.1.4,category1_price,$206.29
 3.1.1.2,category1_rating,2 ratings
 3.1.1.3,category1_review,a-icon a-icon-star a-star-4
 3.2.1.5,category2_description,83% positive over last 12 months
 3.2.2.5,category2_description,Nan
 3.2.3.5,category2_description,71% positive over last 12 months
 3.2.4.5,category2_description,Nan
 3.2.5.5,category2_description,84% positive over last 12 months
 3.2.1.1,category2_name,Amazon.com
 3.2.2.1,category2_name,Amazon.com
 3.2.3.1,category2_name,Home Essentials ✅
 3.2.4.1,category2_name,JM PRIME
 3.2.5.1,category2_name,AVLGear
 3.2.1.2,category2_price,$112.92
 3.2.2.2,category2_price,$198.00
 3.2.3.2,category2_price,$197.54
 3.2.4.2,category2_price,$197.00
 3.2.5.2,category2_price,Nan
 3.2.1.4,category2_rating_count,16920
 3.2.2.4,category2_rating_count,$8.75
 3.2.3.4,category2_rating_count,53617
 3.2.4.4,category2_rating_count,$24.95
 3.2.5.4,category2_rating_count,4281
 3.2.1.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 3.2.2.3,category2_review,a-icon a-icon-star-mini a-star-mini-4 aod-seller-rating-count-class
 3.2.3.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 3.2.4.3,category2_review,Nan
 3.2.5.3,category2_review,Nan
 4.1.1.1,category1_name,CAD Audio Condenser Microphone (AMS-E50)
 4.1.1.4,category1_price,$149.00
 4.1.1.2,category1_rating,190 ratings
 4.1.1.3,category1_review,a-icon a-icon-star a-star-4-5
 4.2.1.5,category2_description,98% positive over last 12 months
 4.2.10.5,category2_description,94% positive over last 12 months
 4.2.11.5,category2_description,84% positive over last 12 months
 4.2.12.5,category2_description,Nan
 4.2.13.5,category2_description,Nan
 4.2.2.5,category2_description,98% positive over last 12 months
 4.2.3.5,category2_description,95% positive over last 12 months
 4.2.4.5,category2_description,96% positive over last 12 months
 4.2.5.5,category2_description,97% positive over last 12 months
 4.2.6.5,category2_description,96% positive over last 12 months
 4.2.7.5,category2_description,99% positive over last 12 months
 4.2.8.5,category2_description,89% positive over last 12 months
 4.2.9.5,category2_description,89% positive over last 12 months
 4.2.1.1,category2_name,Amazon.com
 4.2.10.1,category2_name,BestPricesPeriod!
 4.2.11.1,category2_name,Pitbull Electronics
 4.2.12.1,category2_name,MusicStoreLive
 4.2.13.1,category2_name,AVLGear
 4.2.2.1,category2_name,Amazon.com
 4.2.3.1,category2_name,Amazon.com
 4.2.4.1,category2_name,Amazon.com
 4.2.5.1,category2_name,Focus Camera LLC
 4.2.6.1,category2_name,Bailey Brothers Music Company
 4.2.7.1,category2_name,Amazon.com
 4.2.8.1,category2_name,Amazon.com
 4.2.9.1,category2_name,Amazon.com
 4.2.1.2,category2_price,$148.98
 4.2.10.2,category2_price,$149.99
 4.2.11.2,category2_price,$149.99
 4.2.12.2,category2_price,$149.00
 4.2.13.2,category2_price,Nan
 4.2.2.2,category2_price,$149.00
 4.2.3.2,category2_price,$149.00
 4.2.4.2,category2_price,$149.00
 4.2.5.2,category2_price,$149.00
 4.2.6.2,category2_price,$149.00
 4.2.7.2,category2_price,$149.19
 4.2.8.2,category2_price,$149.99
 4.2.9.2,category2_price,$149.99
 4.2.1.4,category2_rating_count,1185
 4.2.10.4,category2_rating_count,2646
 4.2.11.4,category2_rating_count,4281
 4.2.12.4,category2_rating_count,Nan
 4.2.13.4,category2_rating_count,Nan
 4.2.2.4,category2_rating_count,2340
 4.2.3.4,category2_rating_count,15084
 4.2.4.4,category2_rating_count,24284
 4.2.5.4,category2_rating_count,109780
 4.2.6.4,category2_rating_count,1450
 4.2.7.4,category2_rating_count,2260
 4.2.8.4,category2_rating_count,844
 4.2.9.4,category2_rating_count,5125
 4.2.1.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 4.2.10.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 4.2.11.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 4.2.12.3,category2_review,Nan
 4.2.13.3,category2_review,Nan
 4.2.2.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 4.2.3.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 4.2.4.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 4.2.5.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 4.2.6.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 4.2.7.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 4.2.8.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 4.2.9.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 5.1.1.1,category1_name,Astatic 878HL-2 Omnidirectional Dynamic Desk Top Microphone with Locking Push to Talk Switch (CAD Audio)
 5.1.1.4,category1_price,$129.95
 5.1.1.2,category1_rating,33 ratings
 5.1.1.3,category1_review,a-icon a-icon-star a-star-4
 5.2.1.5,category2_description,76% positive over last 12 months
 5.2.10.5,category2_description,98% positive over last 12 months
 5.2.11.5,category2_description,Nan
 5.2.12.5,category2_description,84% positive over last 12 months
 5.2.13.5,category2_description,89% positive over last 12 months
 5.2.14.5,category2_description,87% positive over last 12 months
 5.2.2.5,category2_description,76% positive over last 12 months
 5.2.3.5,category2_description,91% positive over last 12 months
 5.2.4.5,category2_description,99% positive over last 12 months
 5.2.5.5,category2_description,92% positive over last 12 months
 5.2.6.5,category2_description,95% positive
 5.2.7.5,category2_description,93% positive
 5.2.8.5,category2_description,89% positive over last 12 months
 5.2.9.5,category2_description,94% positive over last 12 months
 5.2.1.1,category2_name,New In Box But Box Has Damage(no damage to microphone)
 5.2.10.1,category2_name,MusicStoreLive
 5.2.11.1,category2_name,M Z Photo
 5.2.12.1,category2_name,AVLGear
 5.2.13.1,category2_name,Casa Mila Inc
 5.2.14.1,category2_name,Consumer Supply Co
 5.2.2.1,category2_name,Quasar Enterprises
 5.2.3.1,category2_name,Quasar Enterprises
 5.2.4.1,category2_name,Guitar Audio
 5.2.5.1,category2_name,Amazon.com
 5.2.6.1,category2_name,Interstate Music
 5.2.7.1,category2_name,Big Llama
 5.2.8.1,category2_name,SoundEthics
 5.2.9.1,category2_name,Pitbull Electronics
 5.2.1.2,category2_price,$109.95
 5.2.10.2,category2_price,$149.99
 5.2.11.2,category2_price,$149.00
 5.2.12.2,category2_price,$176.93
 5.2.13.2,category2_price,$185.59
 5.2.14.2,category2_price,Nan
 5.2.2.2,category2_price,$128.95
 5.2.3.2,category2_price,$131.95
 5.2.4.2,category2_price,$149.00
 5.2.5.2,category2_price,$149.00
 5.2.6.2,category2_price,$149.00
 5.2.7.2,category2_price,$149.00
 5.2.8.2,category2_price,$149.99
 5.2.9.2,category2_price,$149.99
 5.2.1.4,category2_rating_count,156
 5.2.10.4,category2_rating_count,37577
 5.2.11.4,category2_rating_count,$24.95
 5.2.12.4,category2_rating_count,4281
 5.2.13.4,category2_rating_count,496
 5.2.14.4,category2_rating_count,538
 5.2.2.4,category2_rating_count,156
 5.2.3.4,category2_rating_count,6347
 5.2.4.4,category2_rating_count,2260
 5.2.5.4,category2_rating_count,7711
 5.2.6.4,category2_rating_count,22
 5.2.7.4,category2_rating_count,95
 5.2.8.4,category2_rating_count,5125
 5.2.9.4,category2_rating_count,2646
 5.2.1.3,category2_review,a-icon a-icon-star-mini a-star-mini-4 aod-seller-rating-count-class
 5.2.10.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 5.2.11.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 5.2.12.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 5.2.13.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 5.2.14.3,category2_review,Nan
 5.2.2.3,category2_review,a-icon a-icon-star-mini a-star-mini-4 aod-seller-rating-count-class
 5.2.3.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 5.2.4.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 5.2.5.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 5.2.6.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 5.2.7.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 5.2.8.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 5.2.9.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 6.1.1.1,category1_name,"CAD PM1300 PodMaster™ SuperD usb Professional Broadcast / Podcasting Microphone with SuperD VOG Dynamic Capsule, supplied with Broadcast Boom Mic Stand"
 6.1.1.4,category1_price,Nan
 6.1.1.2,category1_rating,32 ratings
 6.1.1.3,category1_review,a-icon a-icon-star a-star-4-5
 6.2.1.5,category2_description,89% positive over last 12 months
 6.2.2.5,category2_description,96% positive over last 12 months
 6.2.3.5,category2_description,93% positive over last 12 months
 6.2.4.5,category2_description,84% positive over last 12 months
 6.2.5.5,category2_description,93% positive
 6.2.6.5,category2_description,94% positive over last 12 months
 6.2.7.5,category2_description,89% positive over last 12 months
 6.2.8.5,category2_description,88% positive
 6.2.1.1,category2_name,Casa Mila Inc
 6.2.2.1,category2_name,Amazon.com
 6.2.3.1,category2_name,GearTree
 6.2.4.1,category2_name,AVLGear
 6.2.5.1,category2_name,World Music Supply
 6.2.6.1,category2_name,MusicStoreLive
 6.2.7.1,category2_name,Pitbull Electronics
 6.2.8.1,category2_name,Dwave  Beauty
 6.2.1.2,category2_price,$124.34
 6.2.2.2,category2_price,Nan
 6.2.3.2,category2_price,Nan
 6.2.4.2,category2_price,Nan
 6.2.5.2,category2_price,Nan
 6.2.6.2,category2_price,Nan
 6.2.7.2,category2_price,Nan
 6.2.8.2,category2_price,Nan
 6.2.1.4,category2_rating_count,496
 6.2.2.4,category2_rating_count,24284
 6.2.3.4,category2_rating_count,21151
 6.2.4.4,category2_rating_count,4281
 6.2.5.4,category2_rating_count,297
 6.2.6.4,category2_rating_count,2646
 6.2.7.4,category2_rating_count,5125
 6.2.8.4,category2_rating_count,25
 6.2.1.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 6.2.2.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 6.2.3.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 6.2.4.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 6.2.5.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 6.2.6.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 6.2.7.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 6.2.8.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 7.1.1.1,category1_name,Astatic 631L Noise-Canceling Omnidirectional Dynamic Palmheld Microphone with Talk Switch
 7.1.1.4,category1_price,$99.00
 7.1.1.2,category1_rating,6 ratings
 7.1.1.3,category1_review,a-icon a-icon-star a-star-4
 7.2.1.5,category2_description,99% positive over last 12 months
 7.2.2.5,category2_description,92% positive over last 12 months
 7.2.3.5,category2_description,90% positive over last 12 months
 7.2.4.5,category2_description,87% positive over last 12 months
 7.2.5.5,category2_description,84% positive over last 12 months
 7.2.1.1,category2_name,Amazon.com
 7.2.2.1,category2_name,Interstate Music
 7.2.3.1,category2_name,Full Compass Systems
 7.2.4.1,category2_name,Consumer Supply Co
 7.2.5.1,category2_name,AVLGear
 7.2.1.2,category2_price,$107.29
 7.2.2.2,category2_price,Nan
 7.2.3.2,category2_price,Nan
 7.2.4.2,category2_price,Nan
 7.2.5.2,category2_price,Nan
 7.2.1.4,category2_rating_count,2260
 7.2.2.4,category2_rating_count,7711
 7.2.3.4,category2_rating_count,9116
 7.2.4.4,category2_rating_count,538
 7.2.5.4,category2_rating_count,4281
 7.2.1.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 7.2.2.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 7.2.3.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 7.2.4.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 7.2.5.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 8.1.1.1,category1_name,CAD Audio Wireless System (1600VP)
 8.1.1.4,category1_price,$299.00
 8.1.1.2,category1_rating,Nan
 8.1.1.3,category1_review,Nan
 8.2.1.5,category2_description,85% positive over last 12 months
 8.2.2.5,category2_description,93% positive over last 12 months
 8.2.3.5,category2_description,93% positive over last 12 months
 8.2.4.5,category2_description,92% positive over last 12 months
 8.2.5.5,category2_description,95% positive over last 12 months
 8.2.6.5,category2_description,Nan
 8.2.1.1,category2_name,CAD Audio Wireless System (1600VP)
 8.2.2.1,category2_name,Square Cable
 8.2.3.1,category2_name,Total Music Source
 8.2.4.1,category2_name,GearTree
 8.2.5.1,category2_name,Interstate Music
 8.2.6.1,category2_name,Beach Camera Same Day Shipping
 8.2.1.2,category2_price,$298.95
 8.2.2.2,category2_price,$299.00
 8.2.3.2,category2_price,$299.00
 8.2.4.2,category2_price,$299.99
 8.2.5.2,category2_price,$437.50
 8.2.6.2,category2_price,Nan
 8.2.1.4,category2_rating_count,483
 8.2.2.4,category2_rating_count,12278
 8.2.3.4,category2_rating_count,21151
 8.2.4.4,category2_rating_count,7711
 8.2.5.4,category2_rating_count,347222
 8.2.6.4,category2_rating_count,Nan
 8.2.1.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 8.2.2.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 8.2.3.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 8.2.4.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 8.2.5.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 8.2.6.3,category2_review,Nan
 9.1.1.1,category1_name,CAD Audio GXLD2QM Digital Frequency Agile Dual HH Wireless Microphone System with USB and TRS Podcast and Content Creator ready adapters
 9.1.1.4,category1_price,$69.95
 9.1.1.2,category1_rating,Nan
 9.1.1.3,category1_review,Nan
 9.2.1.5,category2_description,99% positive over last 12 months
 9.2.2.5,category2_description,92% positive over last 12 months
 9.2.3.5,category2_description,94% positive over last 12 months
 9.2.4.5,category2_description,89% positive over last 12 months
 9.2.5.5,category2_description,84% positive over last 12 months
 9.2.6.5,category2_description,89% positive over last 12 months
 9.2.7.5,category2_description,Nan
 9.2.1.1,category2_name,CAD Audio GXLD2QM Digital Frequency Agile Dual HH Wireless Microphone System with USB and TRS Podcast and Content Creator ready adapters
 9.2.2.1,category2_name,Photo4Less
 9.2.3.1,category2_name,Interstate Music
 9.2.4.1,category2_name,MusicStoreLive
 9.2.5.1,category2_name,Pitbull Electronics
 9.2.6.1,category2_name,AVLGear
 9.2.7.1,category2_name,First Harmonic Limited
 9.2.1.2,category2_price,$129.98
 9.2.2.2,category2_price,Nan
 9.2.3.2,category2_price,Nan
 9.2.4.2,category2_price,Nan
 9.2.5.2,category2_price,Nan
 9.2.6.2,category2_price,Nan
 9.2.7.2,category2_price,Nan
 9.2.1.4,category2_rating_count,38240
 9.2.2.4,category2_rating_count,7711
 9.2.3.4,category2_rating_count,2646
 9.2.4.4,category2_rating_count,5125
 9.2.5.4,category2_rating_count,4281
 9.2.6.4,category2_rating_count,302
 9.2.7.4,category2_rating_count,Nan
 9.2.1.3,category2_review,a-icon a-icon-star-mini a-star-mini-5 aod-seller-rating-count-class
 9.2.2.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 9.2.3.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 9.2.4.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 9.2.5.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 9.2.6.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 9.2.7.3,category2_review,Nan
 10.1.1.1,category1_name,"CAD Audio Studio Headphones, Black (MH100)"
 10.1.1.4,category1_price,$19.00
 10.1.1.2,category1_rating,57 ratings
 10.1.1.3,category1_review,a-icon a-icon-star a-star-4
 10.2.1.5,category2_description,84% positive over last 12 months
 10.2.10.5,category2_description,90% positive over last 12 months
 10.2.2.5,category2_description,100% positive over last 12 months
 10.2.3.5,category2_description,98% positive over last 12 months
 10.2.4.5,category2_description,89% positive over last 12 months
 10.2.5.5,category2_description,72% positive over last 12 months
 10.2.6.5,category2_description,Nan
 10.2.7.5,category2_description,84% positive over last 12 months
 10.2.8.5,category2_description,89% positive over last 12 months
 10.2.9.5,category2_description,87% positive over last 12 months
 10.2.1.1,category2_name,AVLGear
 10.2.10.1,category2_name,Nan
 10.2.2.1,category2_name,Echo Valley Trading LLC
 10.2.3.1,category2_name,eStudioStar
 10.2.4.1,category2_name,"SETI, Inc."
 10.2.5.1,category2_name,Rover Mall
 10.2.6.1,category2_name,Sims Music
 10.2.7.1,category2_name,Casa Mila Inc
 10.2.8.1,category2_name,Consumer Supply Co
 10.2.9.1,category2_name,American Shopping
 10.2.1.2,category2_price,Nan
 10.2.10.2,category2_price,Nan
 10.2.2.2,category2_price,Nan
 10.2.3.2,category2_price,Nan
 10.2.4.2,category2_price,Nan
 10.2.5.2,category2_price,Nan
 10.2.6.2,category2_price,Nan
 10.2.7.2,category2_price,Nan
 10.2.8.2,category2_price,Nan
 10.2.9.2,category2_price,Nan
 10.2.1.4,category2_rating_count,4281
 10.2.10.4,category2_rating_count,670
 10.2.2.4,category2_rating_count,158
 10.2.3.4,category2_rating_count,6728
 10.2.4.4,category2_rating_count,298
 10.2.5.4,category2_rating_count,37577
 10.2.6.4,category2_rating_count,$9.99
 10.2.7.4,category2_rating_count,120
 10.2.8.4,category2_rating_count,496
 10.2.9.4,category2_rating_count,538
 10.2.1.3,category2_review,a-icon a-icon-star-mini a-star-mini-4-5 aod-seller-rating-count-class
 10.2.10.3,category2_review,Nan
